Release,Technique,ModuleName,DoT
v2,DOP,dStaticCategoryModel,0.67781
v2,DOP,dStaticCategoryPersistence,0.73326
v2,DOP,dStaticCategoryReminder,0.7313
v2,DOP,dUtil,0.54992
v2,DOP,dViewController,0.73318
v2,DOP,dViewFixedDateGUI,0.73326
v2,DOP,dViewGUI,0.54848
v2,DOP,dViewModel,0.73249
v3,DOP,dController,0.53554
v3,DOP,dCreateController,0.7115
v3,DOP,dCreateDateRangeFixedDateGUI,0.71429
v3,DOP,dCreateGUI,0.1873
v3,DOP,dCreateModel,0.71259
v3,DOP,dDateRangeFixedDateGUI,0.76841
v3,DOP,dDateRangeFixedDateUtil,0.69738
v3,DOP,dDateRangeGUI,0.62486
v3,DOP,dDateRangeModel,0.71425
v3,DOP,dDeleteController,0.7115
v3,DOP,dDeleteModel,0.71346
v3,DOP,dDoneGUI,0.5347
v3,DOP,dDoneModel,0.71393
v3,DOP,dEditController,0.7115
v3,DOP,dEditGUI,0.0
v3,DOP,dEditModel,0.71327
v3,DOP,dFixedDateGUI,0.60191
v3,DOP,dFixedDateModel,0.71422
v3,DOP,dGoogleCalendarCalendar,0.0
v3,DOP,dGoogleCalendarDateRangeCalendar,0.53571
v3,DOP,dGoogleCalendarGUI,0.53503
v3,DOP,dGoogleCalendarModel,0.0
v3,DOP,dGUI,0.53571
v3,DOP,dManageCategoryController,0.69067
v3,DOP,dManageCategoryGUI,0.58301
v3,DOP,dManageCategoryModel,0.68254
v3,DOP,dManageCategoryPriorityGUI,0.71408
v3,DOP,dModel,0.53571
v3,DOP,dPersistence,0.5357
v3,DOP,dPriorityController,0.0
v3,DOP,dPriorityGUI,0.58714
v3,DOP,dPriorityModel,0.66464
v3,DOP,dPriorityReminder,0.71231
v3,DOP,dReminder,0.53548
v3,DOP,dSearchController,0.71314
v3,DOP,dSearchDateRangeGUI,0.71423
v3,DOP,dSearchGUI,0.53561
v3,DOP,dSearchReminder,0.71404
v3,DOP,dStaticCategoryController,0.69067
v3,DOP,dStaticCategoryGUI,0.61642
v3,DOP,dStaticCategoryModel,0.6602
v3,DOP,dStaticCategoryPersistence,0.71421
v3,DOP,dStaticCategoryPriorityGUI,0.53571
v3,DOP,dStaticCategoryReminder,0.71231
v3,DOP,dUtil,0.53564
v3,DOP,dViewController,0.71414
v3,DOP,dViewDateRangeGUI,0.7142
v3,DOP,dViewFixedDateGUI,0.71422
v3,DOP,dViewGUI,0.53423
v3,DOP,dViewModel,0.71346
v4,DOP,dController,0.53316
v4,DOP,dCreateController,0.70833
v4,DOP,dCreateGUI,0.17316
v4,DOP,dCreateModel,0.70942
v4,DOP,dDateRangeFixedDateGUI,0.70552
v4,DOP,dDateRangeFixedDateUtil,0.67669
v4,DOP,dDateRangeGUI,0.61875
v4,DOP,dDateRangeModel,0.71108
v4,DOP,dDateRepeatFixedDateGUI,0.76192
v4,DOP,dDateRepeatFixedDateModel,0.79988
v4,DOP,dDateRepeatGUI,0.6927
v4,DOP,dDateRepeatModel,0.71071
v4,DOP,dDeleteController,0.70833
v4,DOP,dDeleteModel,0.71029
v4,DOP,dDoneGUI,0.53233
v4,DOP,dDoneModel,0.71075
v4,DOP,dEditController,0.70833
v4,DOP,dEditGUI,0.0
v4,DOP,dEditModel,0.7101
v4,DOP,dFixedDateGUI,0.59691
v4,DOP,dFixedDateModel,0.71093
v4,DOP,dGoogleCalendarCalendar,0.0
v4,DOP,dGoogleCalendarDateRangeCalendar,0.53333
v4,DOP,dGoogleCalendarGUI,0.53265
v4,DOP,dGoogleCalendarModel,0.0
v4,DOP,dGUI,0.53333
v4,DOP,dManageCategoryController,0.6876
v4,DOP,dManageCategoryGUI,0.58717
v4,DOP,dManageCategoryModel,0.67951
v4,DOP,dManageCategoryPriorityGUI,0.72601
v4,DOP,dModel,0.53333
v4,DOP,dPersistence,0.53332
v4,DOP,dPriorityController,0.0
v4,DOP,dPriorityGUI,0.59487
v4,DOP,dPriorityModel,0.66169
v4,DOP,dPriorityReminder,0.70914
v4,DOP,dReminder,0.5331
v4,DOP,dSearchController,0.70997
v4,DOP,dSearchDateRangeGUI,0.71106
v4,DOP,dSearchDateRepeatGUI,0.71105
v4,DOP,dSearchGUI,0.53323
v4,DOP,dSearchReminder,0.71086
v4,DOP,dStaticCategoryController,0.6876
v4,DOP,dStaticCategoryGUI,0.62494
v4,DOP,dStaticCategoryModel,0.65727
v4,DOP,dStaticCategoryPersistence,0.71104
v4,DOP,dStaticCategoryPriorityGUI,0.53333
v4,DOP,dStaticCategoryReminder,0.70914
v4,DOP,dUtil,0.53326
v4,DOP,dViewController,0.71097
v4,DOP,dViewDateRangeGUI,0.71103
v4,DOP,dViewDateRepeatGUI,0.71104
v4,DOP,dViewFixedDateGUI,0.71104
v4,DOP,dViewGUI,0.53186
v4,DOP,dViewModel,0.71029
