Release,Technique,ModuleName,Feature,LOC
v4,DOP,dManageCategoryGUI,gui,58
v4,DOP,dManageCategoryGUI,edit,18
v4,DOP,dManageCategoryModel,manageCategory,65
v4,DOP,dManageCategoryModel,staticCategory,51
v4,DOP,dManageCategoryModel,reminder,12
v4,DOP,dManageCategoryModel,manageReminder,12
v4,DOP,dManageCategoryPriorityGUI,manageCategory,43
v4,DOP,dManageCategoryPriorityGUI,priority,43
v4,DOP,dManageCategoryPriorityGUI,staticCategory,38
v4,DOP,dManageCategoryPriorityGUI,gui,3
v4,DOP,dModel,reminder,309
v4,DOP,dModel,manageReminder,307
v4,DOP,dPersistence,reminder,195
v4,DOP,dPersistence,manageReminder,193
v4,DOP,dPriorityController,priority,23
v4,DOP,dPriorityGUI,priority,309
v4,DOP,dPriorityGUI,gui,125
v4,DOP,dPriorityGUI,edit,9
v4,DOP,dPriorityGUI,create,69
v4,DOP,dPriorityModel,priority,56
v4,DOP,dPriorityModel,reminder,27
v4,DOP,dPriorityModel,manageReminder,27
v4,DOP,dPriorityReminder,priority,14
v4,DOP,dPriorityReminder,reminder,12
v4,DOP,dPriorityReminder,manageReminder,12
v4,DOP,dReminder,reminder,49
v4,DOP,dReminder,manageReminder,47
v4,DOP,dSearchController,search,18
v4,DOP,dSearchController,reminder,16
v4,DOP,dSearchController,manageReminder,16
v4,DOP,dSearchDateRangeGUI,search,77
v4,DOP,dSearchDateRangeGUI,dateRange,77
v4,DOP,dSearchDateRangeGUI,gui,75
v4,DOP,dSearchDateRepeatGUI,search,73
v4,DOP,dSearchDateRepeatGUI,dateRepeat,73
v4,DOP,dSearchDateRepeatGUI,gui,71
v4,DOP,dSearchGUI,search,74
v4,DOP,dSearchGUI,gui,72
v4,DOP,dSearchReminder,search,37
v4,DOP,dSearchReminder,reminder,35
v4,DOP,dSearchReminder,manageReminder,35
v4,DOP,dStaticCategoryController,staticCategory,65
v4,DOP,dStaticCategoryController,reminder,39
