Release,Technique,CommitHash,Added,Removed
v0.1.0,aop,3a02e1a465af005d25bf7615b8cb0f0ae64e2522,245,6
v0.1.0,aop,2d9174c059230442d0b9cd3a47440ca07e9f47ec,58,0
v0.1.0,aop,9728df67d8b72c8e77d675257a32317dbe20dec8,589,121
v0.1.0,aop,4b9016cf1c933848aa84d975ec568a1e4346e128,74,66
v0.1.0,aop,5eb67b5a15210d9674f8ca0ea621ac794191793d,106,30
v0.1.1,aop,50d6bf2158810694b4f3045932a63e7698ab77e8,0,0
v0.1.1,aop,75085179499eacd5ecab0d3ca75589cd90a56ca7,188,50
v0.1.1,aop,79a770695d5f1e0a38d120bd5e35600a6b90b90f,210,0
v0.1.1,aop,baf4b7a9c7571c8c58ee98bb8342f5ee58a57683,124,38
v0.1.1,aop,f0d59f4d7436714e82e576db27c9caaa2902e58e,0,0
v0.1.1,aop,bca5d1e377b494c2b3641f4ae79e92752968155e,158,21
v0.1.1,aop,6e1e0a230126430fbf78f3145d6c27d1c8a49fa7,108,4
v0.1.1,aop,c1f3068b5aa7d79ea973f2a054994691c0d0e1b1,45,31
v0.1.1,aop,a1052a55b1b8a19928bd66d5cbd33ef40569f7a2,0,0
v0.1.1,aop,7e492def14ad2ef4d5ee8317fb876427b7fb3c43,189,13
v0.1.1,aop,9f912b330e660ab2a234c399f4abb2c5544a5f9d,0,0
v0.1.1,aop,6abe220955cf3852816df60ab9e55e5aaa47b93b,31,1
v0.1.1,aop,671557797016ad44bd04edbd793ac00ad4493319,0,0
v0.1.1,aop,1255daa1ad64135787630f61faa9c4bfad6d5ca8,10,1
v0.1.1,aop,1909cd1599215fe88755b60b54002b42acc48a5d,0,0
v0.1.1,aop,578ae90a40cfd59833380fb87c878eac5187e941,13,11
v0.1.1,aop,d2209583de57f7a8ec0f06574632f6fb857872c8,3,3
v0.1.1,aop,91836d2159df2bbeba60268cccc76d3732392afe,4,2
v0.1.1,aop,ca97bc16c09459c982778e0a40f5ad4caf042ff4,2,2
v0.1.1,aop,880cc7229df67458b51ea412551351f31e05768a,0,0
v0.1.1,aop,58b69ae8629d027ea29bae0ee632b107e037fd23,2,2
v0.1.1,aop,bf922449c9165e52a090b6016202282eeee68416,0,0
v0.1.1,aop,97f97b5759c2a90b320bfd104166f13cb22d4f1d,0,0
v0.1.1,aop,ebc622bb47a30560237da712f2f5028f046e1836,0,0
v0.1.1,aop,822e53e8d499214a2d0ea80eaeaec7547b0b0bb5,0,0
v0.1.1,aop,7ebdf08e65610b055c99674ff2e369b1b0f1ae2a,0,0
v0.1.1,aop,5f918fa97ce75c70176806514bb8fa3a51c07b0e,0,0
v0.1.1,aop,d117e47954b3117c4569541e2cfd715fc30e9a2b,2,1
v0.1.1,aop,24d5b6f7e8e53002175fb35d58f7161522f214e4,0,0
v0.1.1,aop,64691533e3ebb4c351aa7c3d13ae1b5b400152d6,0,0
v0.1.1,aop,ac8ab374181bcefb1edb97d1570dcf905a78e917,0,0
v0.1.1,aop,84fc0ed4e28825f99d6f6e5dc6802e3d5ce2f0a9,0,0
base,dop,e3eeb6a555908b9aa16f9e9e03a66e3aeb094dbc,4312,0
v0.1.0,dop,3dbb33eb7630bb1a827abfcada324d3b75cfafb8,0,0
v0.1.0,dop,5b299f516b7e501550a3017bb2f138074aa5e840,329,0
v0.1.0,dop,f40fe9c5ec548acdaf4089284d2e178e767db7e8,0,0
v0.1.0,dop,433ce4364a33cf009f489ac738a00e77b8955b9b,0,0
v0.1.0,dop,75d965ce586c73282a561c03986005e732265d23,0,0
v0.1.0,dop,defd3628b6eda2fdfd9515c79df987aa68d34915,0,0
v0.1.0,dop,aa0bea9519de8dfdc4941c7fabe3f74ac0bb7f94,0,0
v0.1.0,dop,6adec0ffba4fecee57d1212c6440a1cbcfa34cb6,1075,0
v0.1.0,dop,836df678650bcbfa6c839ef257b9fe55a213633d,0,0
