Authors	Title	Year	Cited by	Link	EID
"Elrad T., Filman R.E., Bader A."	Aspect-oriented programming	2001	328	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002991446&doi=10.1145%2f383845.383853&partnerID=40&md5=7e01741d7646286fd7a7db74a0111d70	2-s2.0-0002991446
"Murphy G.C., Walker R.J., Baniassad E.L.A., Robillard M.P., Lai A., Kersten M.A."	Does aspect-oriented programming work?	2001	24	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012664174&doi=10.1145%2f383845.383862&partnerID=40&md5=05a63d407bb112396e3db17a952fbe57	2-s2.0-0012664174
"Lieberherr K., Orleans D., Ovlinger J."	Aspect-oriented programming with adaptive methods	2001	83	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012750648&doi=10.1145%2f383845.383855&partnerID=40&md5=4c92d0ad59cde1bb055e08a7a7a0f759	2-s2.0-0012750648
Sullivan G.T.	Aspect-oriented programming using reflection and metaobject protocols	2001	48	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012651756&doi=10.1145%2f383845.383865&partnerID=40&md5=732a409f6452e4cfcdbe41554b13557f	2-s2.0-0012651756
Návrat P.	Knowledge based software engineering (introduction to special issue)	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035492693&partnerID=40&md5=2ae54ca48f8aa334421605760c83d9d4	2-s2.0-0035492693
"Rashid A., Sawyer P."	Aspect-orientation and database systems: An effective customisation approach	2001	15	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035493189&doi=10.1049%2fip-sen%3a20010732&partnerID=40&md5=ea4e7bbe97eaa8d62b5281fdb93e0ec6	2-s2.0-0035493189
Maxson L.H.	Shifting the economic equation	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035370139&doi=10.1109%2fMC.2001.928616&partnerID=40&md5=234f49eba336615b4b7932cdb0892efe	2-s2.0-0035370139
"Fontoura M., De Lucena C.J.P."	Extending UML to improve the representation of design patterns	2001	20	https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042650933&partnerID=40&md5=faffebdf1efeeb223e96f84c7fb859e4	2-s2.0-3042650933
"Polze A., Richling J., Schwarz J., Malek M."	Towards predictable CORBA-based services	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035267505&partnerID=40&md5=a56f9df63e85b67418674044435d1de0	2-s2.0-0035267505
"Viega J., Bloch J.T., Chandra P."	Applying Aspect-Oriented Programming to Security	2001	58	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346609657&partnerID=40&md5=3fa80453c0cadda5128202f287ce5705	2-s2.0-0346609657
Wand M.	A semantics for advice and dynamic join points in aspect-oriented programming: Abstract of invited talk	2001	4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644599711&partnerID=40&md5=03989a56df8e184f64359fdb0c256a0c	2-s2.0-33644599711
Andrews J.H.	Process-algebraic foundations of aspect-oriented programming	2001	38	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943278667&partnerID=40&md5=d8d6f9c1993651e147d3d330963e3311	2-s2.0-84943278667
"Heuzeroth D., Löwe W., Ludwig A., Aßmann U."	Aspect-oriented configuration and adaptation of component communication	2001	4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958973944&doi=10.1007%2f3-540-44800-4_6&partnerID=40&md5=bf184a12663eee8cc8c903e921f057c3	2-s2.0-84958973944
Rashid A.	On to aspect persistence	2001	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956638396&partnerID=40&md5=2be9299d3f054fb4b29cc3527b153d6f	2-s2.0-84956638396
Gray J.	Using software component generators to construct a meta-weaver framework	2001	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035006937&partnerID=40&md5=8c2f28428679a22c45d0ca213b75e542	2-s2.0-0035006937
"Pinto M., Fuentes L., Troya J.M., Fayad M.E."	Towards an aspect-oriented framework in the design of collaborative virtual environments	2001	6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035199434&partnerID=40&md5=cc0fede8e913212e8ef0134aaf4cf599	2-s2.0-0035199434
"Pinto M., Amor M., Fuentes L., Troya J.M."	Collaborative virtual environment development: An aspect-oriented approach	2001	9	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960909535&doi=10.1109%2fCDCS.2001.918692&partnerID=40&md5=3ec3fa5f97358394716e2a3d0027f0ed	2-s2.0-84960909535
Miller S.K.	Aspect-oriented programming takes aim at software complexity	2001	12	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035311747&doi=10.1109%2f2.917532&partnerID=40&md5=3244feae4c36abab552916ea30b1953a	2-s2.0-0035311747
Simonyi C.	"Keynote speech: Language, objects, and intentionality"	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959037499&doi=10.1007%2f3-540-45337-7_1&partnerID=40&md5=cb344cd87f50654f117a9868d9337b76	2-s2.0-84959037499
"Pulvermüller E., Speck A., Coplien J.O."	A version model for aspect dependency management	2001	5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958977878&doi=10.1007%2f3-540-44800-4_7&partnerID=40&md5=f573b9b8be991feb086091144b0e2d13	2-s2.0-84958977878
"Douence R., Motelet O., Südholt M."	A formal definition of crosscuts	2001	73	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947249797&partnerID=40&md5=e3b8f4c6a1ccd552677a038cc0f9cb48	2-s2.0-84947249797
"Filman R.E., Lee D.D."	Redirecting by injector	2001	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890837182&doi=10.1109%2fCDCS.2001.918698&partnerID=40&md5=ed1b4e7ede7f9103f469fdfba5ffa7e5	2-s2.0-84890837182
"Hollander Y., Morley M., Noy A."	The e language: A fresh separation of concerns	2001	26	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034986777&partnerID=40&md5=30a667e1c96770cb64a2d6f97455e35d	2-s2.0-0034986777
[No author name available]	"2nd International Workshop on Semantics, Applications, and Implementation of Program Generation, SAIG 2001"	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937424539&partnerID=40&md5=b9046f6f0ca17290a6beb8fcefac3f9a	2-s2.0-84937424539
Rashid A.	A hybrid approach to separation of concerns: The story of SADES	2001	17	https://www.scopus.com/inward/record.uri?eid=2-s2.0-35248864302&partnerID=40&md5=701689c0c7c085715c3576560f918365	2-s2.0-35248864302
Menu Mike	Achieving plug-and-play behavior within a class	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035128391&partnerID=40&md5=4aa941a365537177c8eb74a4685d1e20	2-s2.0-0035128391
"Becker C., Geihs K."	Quality of service and object-oriented middleware - Multiple concerns and their separation	2001	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960929572&doi=10.1109%2fCDCS.2001.918695&partnerID=40&md5=360cd82a9932e54a52fd64c8af82f400	2-s2.0-84960929572
"Pawlak R., Seinturier L., Duchien L., Florin G."	JAC: A flexible solution for aspect-oriented programming in java	2001	91	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934291563&partnerID=40&md5=b3e0833050ad894cb44179a05c9d25e3	2-s2.0-84934291563
"Herrero J.L., Sánchez F., Toro M."	Fault tolerance as an aspect using JReplica	2001	5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035203054&partnerID=40&md5=6105093da5424265b68d9ee2cae3be0b	2-s2.0-0035203054
"Hanenberg S., Bachmendo B., Unland R."	An object model for general-purpose aspect languages	2001	1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044530582&doi=10.1007%2f3-540-44800-4_8&partnerID=40&md5=c3b062d9bef696b4f89d5952aec9b357	2-s2.0-23044530582
"Murphy G.C., Lai A., Walker R.J., Robillard M.P."	Separating features in source code: An exploratory study	2001	57	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035018841&partnerID=40&md5=8806f84310e216c1fb7145132e4d6e4a	2-s2.0-0035018841
"Clarke S., Walker R.J."	Composition patterns: An approach to designing reusable aspects	2001	141	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034997449&partnerID=40&md5=5b6cab98facf88e1a85b6bf4ea9556da	2-s2.0-0034997449
Filman R.E.	A software architecture for intelligent synthesis environments	2001	1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034855602&partnerID=40&md5=8b43e7b6806a501c65b1851a71488fc6	2-s2.0-0034855602
"Rashid A., Sawyer P., Pulvermueller E."	A flexible approach for instance adaptation during class versioning	2001	12	https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044522828&doi=10.1007%2f3-540-44677-X_7&partnerID=40&md5=68cc1baa8d3ac545bc67665fd8df6abc	2-s2.0-23044522828
"Katara M., Mikkonen T."	Aspect-oriented specification architectures for distributed real-time systems	2001	5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034872890&partnerID=40&md5=b41e1f5a2df3f82fa5b4d6584590c329	2-s2.0-0034872890
"Klaeren H., Pulvermüller E., Rashid A., Speck A."	Aspect composition applying the design by contract principle	2001	20	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956648730&partnerID=40&md5=1130a6c48e11e63d4f0d9c0197cdc65b	2-s2.0-84956648730
